id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
787405734442958848,best_in_dumbest,7.87,0.0004347826086954498,0,129,18,1.0,0,0,2,0.0,0,1,1589,4,397.25,4,0.002851033499643621,1403,0,0,0,0,0,1,1
796216118331310080,CJRubinPhoto,0.183,0.0002588832487309678,0,160,24,1.0,0,0,0,0.0,0,1,860,880,0.9772727272727273,536,0.38868745467730237,1379,0,0,0,0,1,1,0
875949740503859204,SVGEGENT,0.864,0.0003244176013804667,0,81,10,1.0,0,0,2,0.0,0,1,172,594,0.2895622895622896,3307,2.8533218291630718,1159,0,0,0,1,1,1,0
756119643622735875,TinkerVHELPK5,0.889,0.00018737407656144178,0,97,9,1.0,0,0,0,0.1111111111111111,0,1,517,633,0.8167456556082149,8433,5.663532572196105,1489,0,1,0,1,1,1,0
464781334,JoleonLescott,1.339,6.947100063747769e-05,0,36,7,1.0,0,0,1,0.0,0,1,753678,116,6497.224137931034,88,0.02804333970681963,3138,1,0,0,1,1,1,0
800833795234611200,Ayat_140,8.428,0.00025768667642722676,0,60,11,1.0,0,0,1,0.0,0,1,27394,542,50.542435424354245,237,0.17349926793557832,1366,0,1,0,0,1,1,1
55050269,carrieanninaba,3.581,6.873614190672228e-05,0,150,14,0.9473684210526315,1,0,3,0.0,0,1,291529,1581,184.39531941808983,5522,1.3604336043360434,4059,1,0,0,1,1,1,0
809500704,sherine,0.421,0.00043349414197108027,0,42,3,1.0,0,0,0,0.0,0,1,6909959,40,172748.975,756,0.2605099931082012,2902,1,0,0,0,0,1,0
1015021614,cordensmaureen,0.099,0.00014204139900071688,0,0,0,0.0,0,0,0,0.0,0,0,24,0,0.0,64,0.022840827980014276,2802,0,1,0,0,0,0,0
492306486,GhamGraham,20.391,0.00024839124839459714,1,117,19,1.0,0,0,0,0.0,1,1,2130,3363,0.6333630686886709,36384,11.706563706563706,3108,0,0,0,1,1,1,0
432537664,jainabdulaziz,0.29,7.874015748032814e-05,0,26,4,0.75,0,0,0,0.0,0,1,32,0,0.0,127,0.04,3175,0,0,0,0,1,1,0
2579497028,poem_exe,10.701,0.00042247889826718676,0,94,10,0.7857142857142857,1,0,0,0.0,0,1,26675,26,1025.9615384615386,0,0.0,2251,0,0,0,0,0,1,1
19660870,HilaryAlexander,8.624,0.0003033175355451334,0,64,8,1.0,0,0,0,0.0,0,1,262121,643,407.65318818040436,16614,3.93696682464455,4220,1,0,0,1,1,1,0
313087874,JacobWhitesides,24.355,5.9523809522232796e-05,1,4,1,1.0,0,0,0,0.0,0,1,1950090,1574,1238.9390088945363,49058,14.600595238095238,3360,1,0,0,0,1,1,0
211550281,giuliainnocenzi,1.686,3.803131991042541e-05,0,113,17,0.9375,0,1,0,0.0,0,1,252142,562,448.65124555160145,4071,1.1384228187919463,3576,1,0,0,1,1,1,0
769392715,RichiMasu,36.391,0.00043835616438769875,1,130,9,1.0,0,0,0,0.0,0,1,5281,581,9.089500860585199,81967,28.070890410958903,2920,0,0,0,1,1,1,0
772106131875500032,NagahamaMazie,0.188,0.00023529411764705577,0,11,1,1.0,0,0,0,0.0,0,1,0,0,0.0,139,0.09619377162629758,1445,0,1,0,0,0,1,0
772521707810787328,PenmetsaCari,0.073,0.00028531855955678254,0,156,26,0.6296296296296297,0,0,0,0.038461538461538464,0,1,0,0,0.0,41,0.028393351800554016,1444,0,1,0,0,0,1,0
476691783,CavemanDCJ,5.859,0.00011999999999989797,0,78,12,1.0,0,0,0,0.0,0,1,2365,296,7.989864864864865,12686,4.05952,3125,0,0,0,1,0,1,0
384565337,ChuckBaechel,0.197,0.00010055521283158786,0,0,0,0.0,0,0,0,0.0,0,0,6,33,0.18181818181818182,510,0.15731030228254164,3242,0,1,0,0,0,0,1
305922144,D8Ricky,2.691,1.54211150649175e-05,0,30,7,1.0,0,0,0,0.0,0,1,37278,455,81.92967032967033,534,0.1583629893238434,3372,1,0,0,1,1,1,0
1183842404,ValdakR,0.008,0.0003910981393651942,0,57,8,1.0,1,0,0,0.125,1,1,4,0,0.0,187,0.06822327617657789,2741,0,1,0,0,0,1,1
253755500,JuanpaZurita,6.325,0.00021613832853084602,0,38,6,1.0,0,0,0,0.0,0,1,7383658,3016,2448.1624668435015,38493,11.093083573487032,3470,1,1,0,1,0,1,0
368050288,JulieZauzmer,3.395,0.0003194741669214629,0,160,23,0.8695652173913043,0,0,2,0.0,0,1,9179,1275,7.19921568627451,4282,1.309079792112504,3271,1,0,0,1,1,1,0
14418045,dapmalaysia,17.301,0.00013467938761735354,1,69,11,1.0,0,0,0,0.0,0,1,163616,115,1422.7478260869566,588,0.13046372309740403,4507,1,0,0,0,1,1,0
296484990,KaitlynTck,2.598,0.00028807556080279184,0,78,12,1.0,0,0,0,0.0,0,1,585,900,0.65,29136,8.599763872491145,3388,0,0,0,1,1,1,0
932049341862240256,winampskins,2.362,0.00044621513944242963,0,133,22,0.9545454545454546,0,0,3,0.0,0,1,3745,2,1872.5,307,0.3057768924302789,1004,0,1,0,0,1,1,1
99352713,mykidsfault,1.811,5.39984571878982e-06,0,25,4,1.0,0,0,0,0.0,1,1,137,140,0.9785714285714285,9678,2.4885574697865773,3889,0,1,0,1,0,1,0
519045260,azizhadlaq2010,8.547,0.00016369529983784048,0,42,6,1.0,0,0,0,0.0,0,1,249184,984,253.2357723577236,171,0.055429497568881686,3085,0,1,0,0,1,1,0
115343506,najamwalikhan,2.679,0.00025162972620584867,0,36,8,1.0,0,0,0,0.0,0,1,5362,355,15.104225352112676,7612,1.9848761408083442,3835,0,0,0,1,1,1,0
2166882457,TheOnlyMsV,2.286,0.0004583165525575694,0,89,17,0.9411764705882353,0,0,0,0.0,0,1,704,598,1.1772575250836121,6184,2.490535642368103,2483,0,1,0,0,0,1,0
381157528,gabbs_01,0.856,8.866995073886219e-05,0,20,3,1.0,0,0,0,0.0,0,1,64,156,0.41025641025641024,2361,0.7269088669950738,3248,0,0,0,1,1,1,1
721944734,effort7879,0.006,0.00045380434782608687,0,38,5,1.0,1,0,0,0.0,0,1,3,0,0.0,125,0.042459239130434784,2944,0,1,0,0,0,1,1
